"","taxon","p_mean","n_mean","log2fold","glm.nb_est","glm.nb_stderr","glm.nb_zval","glm.nb_pval"
"278","Melanosporaceae",0.00448782847074008,0.00152016557184432,1.56178906954885,1.08254969018713,7.88961899612136,0.137211909817106,0.890863297277937
"279","Melanosporales",0.00214464288687784,0.00152016557184432,0.496508972548552,0.344153794444739,7.67288723496509,0.0448532324150994,0.964224294424257
"280","Meliniomyces",0.000592544791817815,0.0314052850803822,-5.72793934043112,-3.97030500423822,4.64906338882726,-0.854001047561485,0.393104408954205
"281","Meripilaceae",0.000721180186120312,0.00785132127009555,-3.44450379482564,-2.38754809381142,4.90753408859976,-0.486506675390746,0.626607973595525
"282","Meruliaceae",0.00311352133449518,0.00785132127009555,-1.3343882954036,-0.924927484731199,3.36768270395192,-0.274648049130582,0.78358664743783
"283","Microascaceae",0.0119567241649274,0.00608066228737727,0.975521810987865,0.676180192860971,3.79893704871223,0.177991944638878,0.85872930197485
"284","Microascales",0.0138540436105737,0.00760082785922159,0.866078654138563,0.600319977259294,3.40461362264172,0.176325434776793,0.860038281010417
"285","Microbotryales",0.00761385586478161,0.0191053317891413,-1.32727614808368,-0.919997719868664,1.82290377230539,-0.504688033370605,0.613777967285434
"286","Microbotryomycetes",0.0342327288631647,0.140878445623832,-2.04100268992746,-1.41471526003848,0.654995112712549,-2.1598867420242,0.030781438360729
"287","Microdochiaceae",0.00220195694784794,0.00152016557184432,0.534557795724104,0.370527228952503,7.74463007596684,0.0478431152060218,0.961841274914008
"288","Microdochium",0.00119957751238809,0.00152016557184432,-0.341702083802322,-0.23684983597903,7.96320844240328,-0.029743015983084,0.976272005290176
"289","Microsporomycetaceae",0.000617862091635055,0.00806902599165436,-3.7070377709398,-2.56952277915615,7.0396476790526,-0.365007298135403,0.715105958435984
"290","Minimedusa",0.00248239194062587,0.00152016557184432,0.707502451894888,0.49040332977019,7.71380285983335,0.0635747812954589,0.949308812720549
"291","Minimedusa polyspora",0.00248239194062587,0.00152016557184432,0.707502451894888,0.49040332977019,7.71380285983335,0.0635747812954589,0.949308812720549
"292","Mollisiaceae",0.00581513469470813,0.0235539638102867,-2.01808535210109,-1.39883017193819,2.03687000644767,-0.686754759758955,0.492237282909551
"293","Monoblepharidales",0.000395050591349598,0.00152016557184432,-1.94411914017831,-1.34756070068722,9.19776346437583,-0.146509605939151,0.883519107301555
"294","Monoblepharidomycetes",0.000634823710004582,0.00152016557184432,-1.25980054876513,-0.873227198444423,8.27745970486043,-0.105494587660955,0.915983364447365
"295","Monographella",0.00673174270611011,0.00456049671553295,0.561789069548851,0.389402509627182,4.81918342718756,0.0808025914577885,0.935598947125859
"296","Morosphaeriaceae",0.000102977015272509,0.00152016557184432,-3.88383420090512,-2.69206872611967,15.1072041227394,-0.178197680010662,0.858567731648598
"297","Mortierella",0.0692251514999217,0.0432936093929774,0.677142222739299,0.46935922252984,0.8706979303521,0.539060914432215,0.589844823789151
"298","Mortierella oligospora",0.000560978558842509,0.00152016557184432,-1.43821093045115,-0.996891851492708,10.6882443928957,-0.0932699342237462,0.925689116952386
"299","Mortierellaceae",0.0775459871214346,0.0477965292275827,0.698146266193115,0.483918116030212,0.82774863039131,0.58461965174312,0.558803490874869
"300","Mortierellales",0.0429633603275474,0.0477965292275827,-0.153799023487119,-0.10660535950297,0.876857127456061,-0.121576658460032,0.903234300186823
"301","Mortierellomycetes",0.0429633603275474,0.0477965292275827,-0.153799023487119,-0.10660535950297,0.876857127456061,-0.121576658460032,0.903234300186823
"302","Mycosphaerellales",0.124707487656463,0.00785132127009555,3.98946881918669,2.76528906395103,2.83268214676261,0.976208738107589,0.328961033908111
"303","Mycothermus",0.000102977015272509,0.00152016557184432,-3.88383420090512,-2.69206872611967,15.1072041227394,-0.178197680010662,0.858567731648598
"304","Mycothermus thermophilus",0.000102977015272509,0.00152016557184432,-3.88383420090512,-2.69206872611967,15.1072041227394,-0.178197680010662,0.858567731648598
"305","Myriangiales",0.023631077475089,0.00785132127009555,1.58967804606396,1.10188085562728,2.8803305957878,0.382553605908526,0.702050775132511
